,Location,Total Cases,Total Deaths,Total Recovered
18471,Kepulauan Riau,52126,1625,49151
18472,Lampung,46423,3473,39074
18473,Maluku,14302,250,13662
18474,Maluku Utara,11749,298,11006
18475,Nusa Tenggara Barat,25732,714,23914
18476,Nusa Tenggara Timur,59185,1175,54581
18477,Papua,32172,510,19620
18478,Papua Barat,22177,345,21593
18479,Riau,123119,3678,113879
18480,Sulawesi Barat,11509,292,10173
18481,Sulawesi Selatan,104249,1995,96535
18482,Sulawesi Tengah,42181,1351,35040
18483,Sulawesi Tenggara,19615,482,17410
18484,Sulawesi Utara,32146,946,28395
18485,Sumatera Barat,86475,1979,78974
18486,Sumatera Selatan,57867,2878,52442
18487,Sumatera Utara,95516,2360,71958
18488,Aceh,32936,1472,24782
18489,Bali,106834,3508,96683
18490,Banten,129009,2617,123201
18491,Bengkulu,22470,440,20382
18492,DKI Jakarta,850583,13309,830156
18493,Daerah Istimewa Yogyakarta,149918,4850,132764
18494,Gorontalo,11217,422,9979
18496,Jambi,28156,707,25157
18497,Jawa Barat,690923,13476,655801
18498,Jawa Tengah,469320,28309,415444
18499,Jawa Timur,383244,28199,344101
18500,Kalimantan Barat,35997,961,34322
18501,Kalimantan Selatan,65915,2153,57795
18502,Kalimantan Tengah,43364,1301,37969
18503,Kalimantan Timur,150699,5065,138865
18504,Kalimantan Utara,32093,687,27083
18505,Kepulauan Bangka Belitung,47102,1232,41863
18506,Kepulauan Riau,52204,1636,49273
18507,Lampung,46666,3495,39266
18508,Maluku,14309,250,13675
18509,Maluku Utara,11790,298,11059
18510,Nusa Tenggara Barat,25851,724,24058
18511,Nusa Tenggara Timur,59449,1189,55015
18512,Papua,32276,512,19647
18513,Papua Barat,22215,345,21637
18514,Riau,123556,3708,114580
18515,Sulawesi Barat,11556,298,10257
18516,Sulawesi Selatan,104638,2015,97147
18517,Sulawesi Tengah,42521,1357,35621
18518,Sulawesi Tenggara,19653,483,17556
18519,Sulawesi Utara,32321,951,28867
18520,Sumatera Barat,86714,1985,79282
18521,Sumatera Selatan,57969,2887,52832
18522,Sumatera Utara,96308,2385,72940
18523,Aceh,33246,1489,25083
18524,Bali,107233,3528,97116
18525,Banten,129187,2621,123539
18526,Bengkulu,22497,441,20512
18527,DKI Jakarta,851256,13321,831244
18528,Daerah Istimewa Yogyakarta,150388,4876,133794
18529,Gorontalo,11245,427,10070
18531,Jambi,28289,713,25388
18532,Jawa Barat,692178,13529,657620
18533,Jawa Tengah,470278,28473,416581
18534,Jawa Timur,384366,28330,345578
18535,Kalimantan Barat,36292,964,34576
18536,Kalimantan Selatan,66171,2169,58698
18537,Kalimantan Tengah,43486,1304,38096
18538,Kalimantan Timur,151236,5094,139578
18539,Kalimantan Utara,32281,692,27628
18540,Kepulauan Bangka Belitung,47400,1239,42240
18541,Kepulauan Riau,52286,1644,49433
18542,Lampung,46845,3520,39741
18543,Maluku,14326,252,13687
18544,Maluku Utara,11796,298,11061
18545,Nusa Tenggara Barat,25974,729,24201
18546,Nusa Tenggara Timur,59637,1199,55497
18547,Papua,32415,513,19707
18548,Papua Barat,22391,346,21707
18549,Riau,123898,3731,115154
18550,Sulawesi Barat,11597,302,10340
18551,Sulawesi Selatan,104935,2025,97663
18552,Sulawesi Tengah,42765,1373,36061
18553,Sulawesi Tenggara,19682,485,17786
18554,Sulawesi Utara,32528,961,29296
18555,Sumatera Barat,86915,1992,79615
18556,Sumatera Selatan,58056,2905,52982
18557,Sumatera Utara,97039,2390,74333
18558,Aceh,33569,1502,25285
18559,Bali,107562,3553,97800
18560,Banten,129359,2624,123748
18561,Bengkulu,22522,441,20701
18562,DKI Jakarta,851686,13331,832082
18563,Daerah Istimewa Yogyakarta,150772,4906,134839
18564,Gorontalo,11280,429,10094
18566,Jambi,28387,719,25495
18567,Jawa Barat,692969,13572,662501
18568,Jawa Tengah,471412,28679,421616
18569,Jawa Timur,385219,28452,347083
18570,Kalimantan Barat,36560,968,34807
18571,Kalimantan Selatan,66463,2183,58984
18572,Kalimantan Tengah,43589,1318,38267
18573,Kalimantan Timur,151739,5107,140167
18574,Kalimantan Utara,32468,700,27988
18575,Kepulauan Bangka Belitung,47678,1242,42526
18576,Kepulauan Riau,52369,1651,49595
18577,Lampung,46994,3533,39981
18578,Maluku,14332,253,13699
18579,Maluku Utara,11810,299,11139
18580,Nusa Tenggara Barat,26077,732,24341
18581,Nusa Tenggara Timur,59900,1212,55773
18582,Papua,32509,514,19728
18583,Papua Barat,22441,346,21838
18584,Riau,124209,3749,115638
18585,Sulawesi Barat,11656,304,10401
18586,Sulawesi Selatan,105202,2053,98288
18587,Sulawesi Tengah,43050,1388,36609
18588,Sulawesi Tenggara,19706,485,17892
18589,Sulawesi Utara,32640,965,29439
18590,Sumatera Barat,87061,2007,79870
18591,Sumatera Selatan,58138,2919,53166
18592,Sumatera Utara,97740,2422,75619
18593,Aceh,33908,1526,25524
18594,Bali,107956,3571,98429
18595,Banten,129495,2627,123981
18596,Bengkulu,22573,443,20831
18597,DKI Jakarta,852029,13342,832914
18598,Daerah Istimewa Yogyakarta,151125,4924,135918
18599,Gorontalo,11307,432,10201
18601,Jambi,28494,720,25651
18602,Jawa Barat,693813,13668,664877
18603,Jawa Tengah,472139,28801,422971
18604,Jawa Timur,385989,28540,348170
18605,Kalimantan Barat,36742,973,35045
18606,Kalimantan Selatan,66750,2196,60189
