,Location,Total Cases,Total Deaths,Total Recovered
0,DKI Jakarta,39,20,39
1,DKI Jakarta,41,20,39
3,Riau,2,0,0
4,DKI Jakarta,43,20,39
6,Jawa Barat,1,1,2
7,Riau,2,0,0
8,DKI Jakarta,45,20,39
10,Jawa Barat,2,1,2
11,Riau,2,0,0
12,DKI Jakarta,45,21,39
14,Jawa Barat,3,1,2
15,Riau,2,0,0
16,Banten,1,5,73
17,DKI Jakarta,45,21,39
19,Jawa Barat,4,1,2
20,Riau,2,0,0
21,Banten,1,5,73
22,DKI Jakarta,45,23,39
24,Jawa Barat,4,1,2
25,Riau,2,0,0
26,Banten,2,5,76
27,DKI Jakarta,45,23,39
29,Jawa Barat,4,1,2
30,Jawa Tengah,1,8,8
31,Riau,2,0,0
32,Banten,2,5,76
33,DKI Jakarta,45,24,39
35,Jawa Barat,4,1,2
36,Jawa Tengah,1,8,8
37,Riau,2,0,0
38,Banten,2,5,84
39,DKI Jakarta,45,24,39
41,Jawa Barat,4,1,2
42,Jawa Tengah,1,8,8
43,Riau,2,0,0
44,Sulawesi Tenggara,1,0,9
45,Bali,1,1,1
46,Banten,2,5,92
47,DKI Jakarta,45,24,39
49,Jawa Barat,4,2,2
50,Jawa Tengah,3,9,9
51,Riau,2,0,0
52,Sulawesi Tenggara,1,0,9
53,Bali,1,1,1
54,Banten,2,6,94
55,DKI Jakarta,47,25,43
57,Jawa Barat,5,2,2
58,Jawa Tengah,3,9,9
59,Riau,2,0,0
60,Sulawesi Tenggara,1,0,9
61,Bali,1,1,1
62,Banten,3,7,94
63,DKI Jakarta,51,26,46
65,Jawa Barat,9,2,3
66,Jawa Tengah,3,9,9
67,Riau,2,0,0
68,Sulawesi Tenggara,1,0,9
69,Bali,1,1,1
70,Banten,4,7,96
71,DKI Jakarta,53,27,47
73,Jawa Barat,9,2,3
74,Jawa Tengah,5,9,10
75,Kalimantan Timur,3,0,0
76,Riau,2,0,0
77,Sulawesi Tenggara,1,0,9
78,Bali,1,1,1
79,Banten,5,7,101
80,DKI Jakarta,61,30,47
82,Jawa Barat,9,2,5
83,Jawa Tengah,6,9,11
84,Kalimantan Timur,5,0,0
85,Riau,2,0,0
86,Sulawesi Tenggara,1,0,9
87,Bali,1,1,1
88,Banten,6,7,105
89,DKI Jakarta,63,33,47
90,Daerah Istimewa Yogyakarta,1,0,0
92,Jawa Barat,9,2,7
93,Jawa Tengah,7,9,11
94,Kalimantan Timur,6,0,0
95,Riau,2,0,0
96,Sulawesi Tenggara,3,0,9
97,Bali,1,1,1
98,Banten,6,8,108
99,DKI Jakarta,65,34,47
100,Daerah Istimewa Yogyakarta,1,0,0
102,Jawa Barat,20,2,7
103,Jawa Tengah,8,9,12
104,Kalimantan Timur,7,0,0
105,Riau,2,0,0
106,Sulawesi Tenggara,3,0,9
107,Sumatera Utara,1,1,1
108,Bali,1,1,1
109,Banten,6,9,109
110,DKI Jakarta,66,35,47
111,Daerah Istimewa Yogyakarta,1,0,0
113,Jawa Barat,24,3,9
114,Jawa Tengah,11,10,12
115,Jawa Timur,18,33,202
116,Kalimantan Timur,7,0,0
117,Riau,2,0,0
118,Sulawesi Tenggara,3,0,9
119,Sumatera Utara,1,1,1
120,Bali,2,2,1
121,Banten,6,10,112
122,DKI Jakarta,68,35,48
123,Daerah Istimewa Yogyakarta,1,0,0
125,Jawa Barat,29,4,10
126,Jawa Tengah,13,10,12
127,Jawa Timur,21,33,202
128,Kalimantan Timur,7,0,0
129,Kepulauan Riau,1,1,0
130,Riau,2,0,0
131,Sulawesi Selatan,2,0,1
132,Sulawesi Tenggara,3,0,9
133,Sumatera Utara,1,1,1
134,Bali,2,2,1
135,Banten,6,13,115
136,DKI Jakarta,73,38,49
137,Daerah Istimewa Yogyakarta,2,0,1
139,Jambi,1,0,0
140,Jawa Barat,45,8,10
141,Jawa Tengah,17,10,13
142,Jawa Timur,30,33,202
143,Kalimantan Timur,7,0,0
144,Kepulauan Riau,1,1,0
145,Riau,2,0,0
146,Sulawesi Selatan,2,0,1
147,Sulawesi Tenggara,3,0,9
148,Sumatera Utara,1,1,1
149,Bali,2,2,1
150,Banten,6,13,117
151,DKI Jakarta,81,41,55
152,Daerah Istimewa Yogyakarta,2,0,1
154,Jambi,1,0,0
155,Jawa Barat,50,8,10
156,Jawa Tengah,18,11,13
157,Jawa Timur,39,34,202
158,Kalimantan Timur,7,0,0
159,Kepulauan Riau,1,1,0
160,Riau,2,0,0
161,Sulawesi Selatan,2,0,1
162,Sulawesi Tenggara,3,0,9
163,Sumatera Utara,1,1,1
164,Bali,2,2,1
165,Banten,6,15,117
166,DKI Jakarta,83,41,58
167,Daerah Istimewa Yogyakarta,2,0,1
169,Jambi,1,0,0
170,Jawa Barat,53,11,11
171,Jawa Tengah,19,11,14
172,Jawa Timur,53,34,202
173,Kalimantan Timur,7,0,0
174,Kepulauan Riau,1,1,0
175,Maluku,1,0,0
176,Papua,2,1,1
177,Riau,2,0,0
178,Sulawesi Selatan,2,0,1
179,Sulawesi Tenggara,3,0,9
180,Sumatera Utara,1,1,1
181,Bali,2,2,1
182,Banten,6,17,120
183,DKI Jakarta,83,41,58
184,Daerah Istimewa Yogyakarta,2,1,1
186,Jambi,1,0,0
187,Jawa Barat,59,15,11
188,Jawa Tengah,22,11,14
189,Jawa Timur,55,35,202
190,Kalimantan Timur,8,0,0
191,Kepulauan Riau,1,1,0
192,Maluku,1,0,0
193,Maluku Utara,1,0,0
194,Papua,2,1,1
195,Riau,2,0,0
196,Sulawesi Selatan,2,1,1
197,Sulawesi Tenggara,3,0,9
198,Sumatera Selatan,1,2,1
199,Sumatera Utara,1,1,1
200,Bali,2,2,1
201,Banten,6,18,123
202,DKI Jakarta,99,60,61
203,Daerah Istimewa Yogyakarta,2,1,1
205,Jambi,1,0,0
206,Jawa Barat,61,17,13
207,Jawa Tengah,25,12,15
208,Jawa Timur,58,36,202
209,Kalimantan Timur,8,0,0
210,Kepulauan Riau,1,1,0
211,Maluku,1,0,0
212,Maluku Utara,1,0,0
213,Papua,2,1,1
214,Riau,2,0,0
215,Sulawesi Selatan,4,1,1
216,Sulawesi Tenggara,3,0,9
217,Sumatera Selatan,1,2,1
218,Sumatera Utara,1,1,1
219,Bali,2,2,1
220,Banten,6,19,126
221,DKI Jakarta,100,61,61
222,Daerah Istimewa Yogyakarta,3,2,1
224,Jambi,1,0,0
225,Jawa Barat,66,17,14
226,Jawa Tengah,48,13,16
227,Jawa Timur,67,36,203
228,Kalimantan Timur,8,0,0
229,Kepulauan Riau,1,1,0
230,Maluku,1,0,0
231,Maluku Utara,1,0,0
232,Papua,2,1,1
233,Riau,2,0,0
234,Sulawesi Selatan,13,1,1
235,Sulawesi Tenggara,3,0,9
236,Sumatera Selatan,1,2,1
237,Sumatera Utara,1,1,1
238,Aceh,1,0,0
239,Bali,2,2,1
240,Banten,6,19,130
241,DKI Jakarta,157,63,61
242,Daerah Istimewa Yogyakarta,3,2,1
244,Jambi,1,0,0
245,Jawa Barat,71,18,14
246,Jawa Tengah,52,13,17
247,Jawa Timur,80,37,203
248,Kalimantan Tengah,2,1,38
249,Kalimantan Timur,8,0,0
250,Kepulauan Riau,1,1,0
251,Lampung,2,0,0
252,Maluku,1,0,0
253,Maluku Utara,1,0,0
254,Papua,6,1,1
255,Riau,2,0,0
256,Sulawesi Selatan,27,1,1
257,Sulawesi Tengah,1,0,0
258,Sulawesi Tenggara,3,0,9
259,Sulawesi Utara,1,0,1
260,Sumatera Barat,3,0,1
261,Sumatera Selatan,1,2,1
262,Sumatera Utara,1,1,1
263,Aceh,4,0,0
264,Bali,2,2,1
265,Banten,31,21,133
266,DKI Jakarta,231,70,67
267,Daerah Istimewa Yogyakarta,4,2,1
269,Jambi,1,0,0
270,Jawa Barat,87,21,15
271,Jawa Tengah,60,14,18
272,Jawa Timur,83,38,203
273,Kalimantan Tengah,2,1,38
274,Kalimantan Timur,8,0,0
275,Kepulauan Riau,1,1,0
276,Lampung,3,0,0
277,Maluku,1,0,0
278,Maluku Utara,1,0,0
279,Papua,6,1,1
280,Papua Barat,2,1,0
281,Riau,2,0,0
282,Sulawesi Selatan,29,1,1
283,Sulawesi Tengah,1,0,0
284,Sulawesi Tenggara,3,0,9
285,Sulawesi Utara,1,0,1
286,Sumatera Barat,5,0,1
287,Sumatera Selatan,1,2,1
288,Sumatera Utara,1,2,1
289,Aceh,5,0,0
290,Bali,2,2,1
291,Banten,41,23,140
292,DKI Jakarta,279,79,76
293,Daerah Istimewa Yogyakarta,4,2,1
295,Jambi,1,0,0
296,Jawa Barat,106,24,16
297,Jawa Tengah,75,16,20
298,Jawa Timur,97,40,205
299,Kalimantan Tengah,3,1,38
300,Kalimantan Timur,13,0,0
301,Kalimantan Utara,2,0,0
302,Kepulauan Riau,2,1,2
303,Lampung,3,0,0
304,Maluku,1,0,0
305,Maluku Utara,1,0,0
306,Papua,6,1,1
307,Papua Barat,2,1,0
308,Riau,2,0,0
309,Sulawesi Barat,1,0,0
310,Sulawesi Selatan,32,1,1
311,Sulawesi Tengah,2,0,0
312,Sulawesi Tenggara,3,0,9
313,Sulawesi Utara,1,0,1
314,Sumatera Barat,5,0,1
315,Sumatera Selatan,2,2,1
316,Sumatera Utara,1,2,1
317,Aceh,5,0,0
318,Bali,3,2,1
319,Banten,43,25,142
320,DKI Jakarta,331,89,76
321,Daerah Istimewa Yogyakarta,4,2,1
323,Jambi,1,0,0
324,Jawa Barat,133,27,19
325,Jawa Tengah,86,19,20
326,Jawa Timur,109,41,233
327,Kalimantan Barat,7,2,10
328,Kalimantan Tengah,3,1,38
329,Kalimantan Timur,13,0,0
330,Kalimantan Utara,2,0,0
331,Kepulauan Riau,2,1,2
332,Lampung,3,0,0
333,Maluku,1,0,0
334,Maluku Utara,1,0,0
335,Papua,8,1,1
336,Papua Barat,2,1,0
337,Riau,3,0,0
338,Sulawesi Barat,1,0,0
339,Sulawesi Selatan,47,1,1
340,Sulawesi Tengah,2,0,0
341,Sulawesi Tenggara,3,0,9
342,Sulawesi Utara,1,0,1
343,Sumatera Barat,5,0,1
344,Sumatera Selatan,2,2,1
345,Sumatera Utara,1,2,1
346,Aceh,5,0,0
347,Bali,12,2,1
348,Banten,65,25,145
349,DKI Jakarta,364,96,76
350,Daerah Istimewa Yogyakarta,6,2,2
352,Jambi,2,0,0
353,Jawa Barat,152,30,24
354,Jawa Tengah,103,20,21
355,Jawa Timur,116,43,233
356,Kalimantan Barat,8,2,10
357,Kalimantan Selatan,5,0,0
358,Kalimantan Tengah,3,1,38
359,Kalimantan Timur,13,0,0
360,Kalimantan Utara,2,0,0
361,Kepulauan Bangka Belitung,1,0,0
362,Kepulauan Riau,4,3,2
363,Lampung,7,1,0
364,Maluku,1,0,0
365,Maluku Utara,1,0,0
366,Papua,8,1,1
367,Papua Barat,2,1,0
368,Riau,4,0,0
369,Sulawesi Barat,1,0,0
370,Sulawesi Selatan,51,3,1
371,Sulawesi Tengah,2,0,0
372,Sulawesi Tenggara,3,0,9
373,Sulawesi Utara,1,0,1
374,Sumatera Barat,8,0,1
375,Sumatera Selatan,2,2,1
376,Sumatera Utara,7,2,1
377,Aceh,5,0,0
378,Bali,12,2,2
379,Banten,79,27,146
380,Bengkulu,1,1,6
381,DKI Jakarta,408,106,76
382,Daerah Istimewa Yogyakarta,11,2,2
384,Jambi,2,0,0
385,Jawa Barat,159,30,27
386,Jawa Tengah,118,22,21
387,Jawa Timur,117,43,233
388,Kalimantan Barat,8,2,10
389,Kalimantan Selatan,7,0,0
390,Kalimantan Tengah,7,1,40
391,Kalimantan Timur,16,1,0
392,Kalimantan Utara,2,0,0
393,Kepulauan Bangka Belitung,2,1,0
394,Kepulauan Riau,5,3,2
395,Lampung,7,2,0
396,Maluku,1,0,0
397,Maluku Utara,1,0,0
398,Nusa Tenggara Barat,2,0,0
399,Papua,9,1,2
400,Papua Barat,2,1,0
401,Riau,4,0,0
402,Sulawesi Barat,1,0,0
403,Sulawesi Selatan,51,4,1
404,Sulawesi Tengah,2,0,0
405,Sulawesi Tenggara,3,0,9
406,Sulawesi Utara,1,0,1
407,Sumatera Barat,8,0,1
408,Sumatera Selatan,5,2,1
409,Sumatera Utara,13,4,1
410,Aceh,5,0,0
411,Bali,18,2,3
412,Banten,91,28,152
413,Bengkulu,1,1,6
414,DKI Jakarta,467,107,76
415,Daerah Istimewa Yogyakarta,17,2,3
417,Jambi,2,0,0
418,Jawa Barat,179,31,29
419,Jawa Tengah,137,30,37
420,Jawa Timur,126,47,310
421,Kalimantan Barat,9,2,10
422,Kalimantan Selatan,7,0,0
423,Kalimantan Tengah,7,1,40
424,Kalimantan Timur,17,1,0
425,Kalimantan Utara,2,0,0
426,Kepulauan Bangka Belitung,2,1,0
427,Kepulauan Riau,5,3,2
428,Lampung,7,2,0
429,Maluku,1,0,1
430,Maluku Utara,1,0,0
431,Nusa Tenggara Barat,4,0,0
432,Papua,9,1,3
433,Papua Barat,2,1,0
434,Riau,4,1,0
435,Sulawesi Barat,1,0,0
436,Sulawesi Selatan,65,4,1
437,Sulawesi Tengah,2,0,0
438,Sulawesi Tenggara,3,0,9
439,Sulawesi Utara,3,0,1
440,Sumatera Barat,8,0,1
441,Sumatera Selatan,5,2,1
442,Sumatera Utara,15,4,1
443,Aceh,5,0,0
444,Bali,18,2,3
445,Banten,97,30,153
446,Bengkulu,1,1,6
447,DKI Jakarta,537,112,78
448,Daerah Istimewa Yogyakarta,17,3,3
450,Jambi,2,0,0
451,Jawa Barat,194,36,30
452,Jawa Tengah,142,32,39
453,Jawa Timur,126,59,401
454,Kalimantan Barat,9,3,10
455,Kalimantan Selatan,7,0,0
456,Kalimantan Tengah,7,1,40
457,Kalimantan Timur,17,1,0
458,Kalimantan Utara,2,0,0
459,Kepulauan Bangka Belitung,2,1,0
460,Kepulauan Riau,7,4,4
461,Lampung,7,2,0
462,Maluku,1,0,1
463,Maluku Utara,1,0,0
464,Nusa Tenggara Barat,4,0,0
465,Papua,9,1,4
466,Papua Barat,2,1,0
467,Riau,8,1,0
468,Sulawesi Barat,1,0,0
469,Sulawesi Selatan,65,6,5
470,Sulawesi Tengah,2,1,0
471,Sulawesi Tenggara,3,0,9
472,Sulawesi Utara,3,0,1
473,Sumatera Barat,8,0,1
474,Sumatera Selatan,11,2,1
475,Sumatera Utara,15,4,1
476,Aceh,5,0,0
477,Bali,21,2,3
478,Banten,101,30,157
479,Bengkulu,2,1,6
480,DKI Jakarta,608,118,80
481,Daerah Istimewa Yogyakarta,17,3,3
483,Jambi,2,0,0
484,Jawa Barat,196,37,32
485,Jawa Tengah,161,33,44
486,Jawa Timur,173,60,408
487,Kalimantan Barat,9,3,10
488,Kalimantan Selatan,7,0,0
489,Kalimantan Tengah,9,1,40
490,Kalimantan Timur,18,1,0
491,Kalimantan Utara,8,0,0
492,Kepulauan Bangka Belitung,2,1,0
493,Kepulauan Riau,9,4,4
494,Lampung,10,3,0
495,Maluku,1,0,1
496,Maluku Utara,1,0,0
497,Nusa Tenggara Barat,4,0,0
498,Papua,15,2,4
499,Papua Barat,2,1,0
500,Riau,11,1,0
501,Sulawesi Barat,2,0,0
502,Sulawesi Selatan,80,6,5
503,Sulawesi Tengah,4,2,0
504,Sulawesi Tenggara,5,0,9
505,Sulawesi Utara,3,0,1
506,Sumatera Barat,8,0,1
507,Sumatera Selatan,12,2,1
508,Sumatera Utara,15,4,1
509,Aceh,5,0,0
510,Bali,26,2,3
511,Banten,104,32,159
512,Bengkulu,2,1,6
513,DKI Jakarta,665,126,85
514,Daerah Istimewa Yogyakarta,22,3,3
516,Jambi,2,0,0
517,Jawa Barat,216,41,34
518,Jawa Tengah,176,34,47
519,Jawa Timur,178,62,411
520,Kalimantan Barat,9,3,10
521,Kalimantan Selatan,7,0,0
522,Kalimantan Tengah,10,1,42
523,Kalimantan Timur,20,1,1
524,Kalimantan Utara,8,0,0
525,Kepulauan Bangka Belitung,2,1,0
526,Kepulauan Riau,9,4,4
527,Lampung,10,3,0
528,Maluku,1,0,1
529,Maluku Utara,1,0,0
530,Nusa Tenggara Barat,4,0,0
531,Papua,17,2,5
532,Papua Barat,2,1,0
533,Riau,11,1,1
534,Sulawesi Barat,2,0,0
535,Sulawesi Selatan,80,8,10
536,Sulawesi Tengah,4,2,0
537,Sulawesi Tenggara,5,0,10
538,Sulawesi Utara,3,1,1
539,Sumatera Barat,8,0,1
540,Sumatera Selatan,12,2,2
541,Sumatera Utara,18,5,1
542,Aceh,5,0,0
543,Bali,31,2,7
544,Banten,108,34,163
545,Bengkulu,2,1,6
546,DKI Jakarta,752,137,87
547,Daerah Istimewa Yogyakarta,23,3,3
549,Jambi,2,0,0
550,Jawa Barat,222,43,35
551,Jawa Tengah,179,34,47
552,Jawa Timur,213,64,419
553,Kalimantan Barat,9,3,10
554,Kalimantan Selatan,15,1,0
555,Kalimantan Tengah,10,1,42
556,Kalimantan Timur,21,1,1
557,Kalimantan Utara,8,0,0
558,Kepulauan Bangka Belitung,2,1,0
559,Kepulauan Riau,10,4,4
560,Lampung,10,3,0
561,Maluku,1,0,1
562,Maluku Utara,1,0,0
563,Nusa Tenggara Barat,4,0,0
564,Papua,25,2,5
565,Papua Barat,2,1,0
566,Riau,12,2,1
567,Sulawesi Barat,2,0,0
568,Sulawesi Selatan,82,10,21
569,Sulawesi Tengah,5,2,0
570,Sulawesi Tenggara,5,0,10
571,Sulawesi Utara,3,1,1
572,Sumatera Barat,8,0,1
573,Sumatera Selatan,16,2,2
574,Sumatera Utara,18,5,1
575,Aceh,5,0,0
576,Bali,38,2,7
577,Banten,119,36,171
578,Bengkulu,2,1,6
579,DKI Jakarta,855,144,94
580,Daerah Istimewa Yogyakarta,26,3,4
582,Jambi,2,0,0
583,Jawa Barat,232,46,39
584,Jawa Tengah,198,39,48
585,Jawa Timur,222,69,430
586,Kalimantan Barat,9,3,10
587,Kalimantan Selatan,17,1,0
588,Kalimantan Tengah,19,1,42
589,Kalimantan Timur,27,1,1
590,Kalimantan Utara,15,0,0
591,Kepulauan Bangka Belitung,2,1,0
592,Kepulauan Riau,10,4,4
593,Lampung,11,3,0
594,Maluku,1,0,1
595,Maluku Utara,1,0,0
596,Nusa Tenggara Barat,7,0,0
597,Papua,25,3,5
598,Papua Barat,2,1,0
599,Riau,13,2,1
600,Sulawesi Barat,2,0,0
601,Sulawesi Selatan,111,10,21
602,Sulawesi Tengah,5,2,0
603,Sulawesi Tenggara,6,0,10
604,Sulawesi Utara,5,1,1
605,Sumatera Barat,18,0,1
606,Sumatera Selatan,16,2,2
607,Sumatera Utara,19,5,1
608,Aceh,5,0,0
609,Bali,38,2,7
610,Banten,125,36,175
611,Bengkulu,2,1,6
612,DKI Jakarta,968,158,97
613,Daerah Istimewa Yogyakarta,27,3,4
615,Jambi,2,0,0
616,Jawa Barat,308,49,41
617,Jawa Tengah,206,39,48
618,Jawa Timur,227,74,432
619,Kalimantan Barat,10,3,11
620,Kalimantan Selatan,17,3,0
621,Kalimantan Tengah,20,1,44
622,Kalimantan Timur,27,1,1
623,Kalimantan Utara,15,0,0
624,Kepulauan Bangka Belitung,2,1,0
625,Kepulauan Riau,10,4,4
626,Lampung,11,3,0
627,Maluku,1,0,1
628,Maluku Utara,1,0,0
629,Nusa Tenggara Barat,7,0,0
630,Papua,25,4,5
631,Papua Barat,2,1,0
632,Riau,13,2,1
633,Sulawesi Barat,2,0,0
634,Sulawesi Selatan,121,10,23
635,Sulawesi Tengah,5,2,2
636,Sulawesi Tenggara,6,0,10
637,Sulawesi Utara,8,2,1
638,Sumatera Barat,18,0,1
639,Sumatera Selatan,16,2,2
640,Sumatera Utara,19,5,1
641,Aceh,5,0,0
642,Bali,44,2,7
643,Banten,144,36,181
644,Bengkulu,2,1,6
645,DKI Jakarta,1058,166,102
646,Daerah Istimewa Yogyakarta,31,6,7
648,Jambi,2,0,0
649,Jawa Barat,330,54,45
650,Jawa Tengah,221,42,50
651,Jawa Timur,242,97,447
652,Kalimantan Barat,10,3,11
653,Kalimantan Selatan,21,3,1
654,Kalimantan Tengah,20,2,44
655,Kalimantan Timur,28,1,1
656,Kalimantan Utara,16,0,0
657,Kepulauan Bangka Belitung,3,1,0
658,Kepulauan Riau,10,4,4
659,Lampung,14,5,0
660,Maluku,3,0,1
661,Maluku Utara,2,0,0
662,Nusa Tenggara Barat,7,0,0
663,Papua,36,4,5
664,Papua Barat,2,1,0
665,Riau,13,2,1
666,Sulawesi Barat,2,0,0
667,Sulawesi Selatan,126,11,25
668,Sulawesi Tengah,5,2,2
669,Sulawesi Tenggara,10,0,10
670,Sulawesi Utara,8,2,1
671,Sumatera Barat,18,0,1
672,Sumatera Selatan,16,2,2
673,Sumatera Utara,48,5,1
674,Aceh,5,0,1
675,Bali,58,2,7
676,Banten,148,39,191
677,Bengkulu,4,1,6
678,DKI Jakarta,1286,200,107
679,Daerah Istimewa Yogyakarta,34,6,10
681,Jambi,2,0,0
682,Jawa Barat,342,60,49
683,Jawa Tengah,232,43,55
684,Jawa Timur,278,109,490
685,Kalimantan Barat,10,3,11
686,Kalimantan Selatan,21,4,3
687,Kalimantan Tengah,20,2,44
688,Kalimantan Timur,29,1,6
689,Kalimantan Utara,16,0,0
690,Kepulauan Bangka Belitung,4,1,0
691,Kepulauan Riau,21,4,4
692,Lampung,15,5,2
693,Maluku,3,0,1
694,Maluku Utara,2,0,1
695,Nusa Tenggara Barat,13,0,2
696,Nusa Tenggara Timur,1,0,0
697,Papua,36,4,5
698,Papua Barat,2,1,0
699,Riau,14,3,1
700,Sulawesi Barat,2,0,0
701,Sulawesi Selatan,132,11,25
702,Sulawesi Tengah,5,2,2
703,Sulawesi Tenggara,15,0,10
704,Sulawesi Utara,8,2,1
705,Sumatera Barat,18,0,1
706,Sumatera Selatan,17,2,2
707,Sumatera Utara,48,5,1
708,Aceh,5,0,1
709,Bali,70,2,8
710,Banten,169,40,195
711,Bengkulu,4,1,6
712,DKI Jakarta,1339,211,111
713,Daerah Istimewa Yogyakarta,37,6,13
714,Gorontalo,2,0,3
716,Jambi,2,0,0
717,Jawa Barat,352,60,50
718,Jawa Tengah,234,43,55
719,Jawa Timur,308,113,524
720,Kalimantan Barat,10,3,11
721,Kalimantan Selatan,28,4,3
722,Kalimantan Tengah,24,2,45
723,Kalimantan Timur,33,1,6
724,Kalimantan Utara,16,0,0
725,Kepulauan Bangka Belitung,4,1,0
726,Kepulauan Riau,21,4,4
727,Lampung,20,5,2
728,Maluku,3,0,1
729,Maluku Utara,2,0,1
730,Nusa Tenggara Barat,22,0,2
731,Nusa Tenggara Timur,1,0,0
732,Papua,36,5,6
733,Papua Barat,2,1,0
734,Riau,15,3,2
735,Sulawesi Barat,3,0,0
736,Sulawesi Selatan,165,12,25
737,Sulawesi Tengah,14,2,2
738,Sulawesi Tenggara,15,0,10
739,Sulawesi Utara,13,3,1
740,Sumatera Barat,31,3,6
741,Sumatera Selatan,18,2,2
742,Sumatera Utara,55,5,9
743,Aceh,5,0,1
744,Bali,74,2,8
745,Banten,200,42,215
746,Bengkulu,4,1,6
747,DKI Jakarta,1529,221,118
748,Daerah Istimewa Yogyakarta,37,6,13
749,Gorontalo,2,0,3
751,Jambi,4,0,0
752,Jawa Barat,381,64,54
753,Jawa Tengah,241,44,55
754,Jawa Timur,323,122,551
755,Kalimantan Barat,10,3,11
756,Kalimantan Selatan,28,5,3
757,Kalimantan Tengah,24,2,45
758,Kalimantan Timur,33,1,6
759,Kalimantan Utara,16,1,0
760,Kepulauan Bangka Belitung,5,1,0
761,Kepulauan Riau,21,6,4
762,Lampung,20,5,4
763,Maluku,3,0,1
764,Maluku Utara,2,0,1
765,Nusa Tenggara Barat,24,2,2
766,Nusa Tenggara Timur,1,0,0
767,Papua,60,5,8
768,Papua Barat,2,1,0
769,Riau,18,3,3
770,Sulawesi Barat,5,1,1
771,Sulawesi Selatan,176,18,25
772,Sulawesi Tengah,19,2,2
773,Sulawesi Tenggara,16,1,10
774,Sulawesi Utara,13,3,2
775,Sumatera Barat,31,3,6
776,Sumatera Selatan,18,2,2
777,Sumatera Utara,55,8,9
778,Aceh,5,0,1
779,Bali,76,2,8
780,Banten,202,43,222
781,Bengkulu,4,1,6
782,DKI Jakarta,1685,254,155
783,Daerah Istimewa Yogyakarta,38,6,18
784,Gorontalo,2,0,3
786,Jambi,4,0,0
787,Jawa Barat,398,68,56
788,Jawa Tengah,298,45,56
789,Jawa Timur,434,123,558
790,Kalimantan Barat,13,3,11
791,Kalimantan Selatan,33,5,3
792,Kalimantan Tengah,24,2,45
793,Kalimantan Timur,33,1,6
794,Kalimantan Utara,16,1,0
795,Kepulauan Bangka Belitung,5,1,0
796,Kepulauan Riau,21,6,4
797,Lampung,20,5,4
798,Maluku,11,0,1
799,Maluku Utara,2,0,1
800,Nusa Tenggara Barat,33,2,2
801,Nusa Tenggara Timur,1,0,0
802,Papua,61,5,10
803,Papua Barat,2,1,0
804,Riau,18,3,3
805,Sulawesi Barat,5,1,1
806,Sulawesi Selatan,221,18,25
807,Sulawesi Tengah,19,2,2
808,Sulawesi Tenggara,16,1,10
809,Sulawesi Utara,17,3,2
810,Sumatera Barat,44,3,7
811,Sumatera Selatan,18,2,4
812,Sumatera Utara,65,8,9
813,Aceh,5,0,3
814,Bali,81,2,8
815,Banten,206,45,231
816,Bengkulu,4,1,6
817,DKI Jakarta,1820,261,156
818,Daerah Istimewa Yogyakarta,54,6,18
819,Gorontalo,2,0,3
821,Jambi,4,0,0
822,Jawa Barat,457,71,57
823,Jawa Tengah,311,46,59
824,Jawa Timur,486,126,564
825,Kalimantan Barat,13,3,11
826,Kalimantan Selatan,34,5,4
827,Kalimantan Tengah,25,2,46
828,Kalimantan Timur,33,1,6
829,Kalimantan Utara,16,1,0
830,Kepulauan Bangka Belitung,5,1,0
831,Kepulauan Riau,21,6,4
832,Lampung,21,5,4
833,Maluku,11,0,1
834,Maluku Utara,2,0,1
835,Nusa Tenggara Barat,36,2,2
836,Nusa Tenggara Timur,1,0,0
837,Papua,67,5,10
838,Papua Barat,2,1,0
839,Riau,21,3,3
840,Sulawesi Barat,5,1,1
841,Sulawesi Selatan,221,19,31
842,Sulawesi Tengah,19,3,2
843,Sulawesi Tenggara,16,1,10
844,Sulawesi Utara,17,3,2
845,Sumatera Barat,45,3,7
846,Sumatera Selatan,18,2,4
847,Sumatera Utara,67,9,10
848,Aceh,5,0,3
849,Bali,87,2,8
850,Banten,212,47,234
851,Bengkulu,4,1,6
852,DKI Jakarta,1942,271,156
853,Daerah Istimewa Yogyakarta,59,6,22
854,Gorontalo,2,0,3
856,Jambi,5,0,0
857,Jawa Barat,461,72,62
858,Jawa Tengah,392,47,62
859,Jawa Timur,522,128,574
860,Kalimantan Barat,13,3,13
861,Kalimantan Selatan,37,7,4
862,Kalimantan Tengah,25,3,46
863,Kalimantan Timur,33,1,6
864,Kalimantan Utara,16,1,0
865,Kepulauan Bangka Belitung,5,1,0
866,Kepulauan Riau,27,8,4
867,Lampung,21,5,4
868,Maluku,11,0,1
869,Maluku Utara,2,0,1
870,Nusa Tenggara Barat,36,2,2
871,Nusa Tenggara Timur,1,0,0
872,Papua,67,5,10
873,Papua Barat,2,1,0
874,Riau,21,3,3
875,Sulawesi Barat,5,1,1
876,Sulawesi Selatan,229,22,35
877,Sulawesi Tengah,19,3,2
878,Sulawesi Tenggara,16,1,10
879,Sulawesi Utara,17,3,4
880,Sumatera Barat,48,4,7
881,Sumatera Selatan,19,2,4
882,Sumatera Utara,72,9,11
883,Aceh,5,0,3
884,Bali,93,2,8
885,Banten,213,48,242
886,Bengkulu,4,1,6
887,DKI Jakarta,2085,280,176
888,Daerah Istimewa Yogyakarta,60,6,22
